Time period,Time identifier,Geographic level,Country name,Country code,Region name,Region code,LA name,LA code (old),LA code (new),School phase,School Name,School LA Estab ID,URN,Total Revenue Balance (£),B01 Committed revenue balance (£),B02 Uncommitted revenue balance (£),B06 Community focussed extended school revenue balance (£),Total revenue balance as a % of total income
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Nursery,Bensham Grove Nursery School,3901000,108320,17477.58,17477.58,0,0,4.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Carr Hill Community Primary School,3902008,108321,253195.4,253195.4,0,0,13.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Kelvin Grove Community Primary School,3902012,108323,63920.36,63920.36,0,0,3.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,South Street Community Primary School,3902036,108326,5988.7,5988.7,0,0,0.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Bede Community Primary School,3902039,108327,183027.8,183027.8,0,0,12.5
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Junior School,3902049,108329,79195.29,79195.29,0,0,7.7
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Larkspur Community Primary School,3902051,108330,123846.7,123846.7,0,0,13.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Infant School,3902055,108332,58477.27,58477.27,0,0,7.1
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ravensworth Terrace Primary School,3902056,108333,-138554.3,0,-138554.3,0,-10.2
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Portobello Primary School,3902162,108336,42497.8,42497.8,0,0,4.4
201819,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Birtley East Community Primary School,3902163,108337,135102,135102,0,0,10.3
